dEven,candidate_event_count,has_candidate_event
2014-03-19,0,False
2014-03-25,0,False
2014-03-26,0,False
2014-03-29,0,False
2014-03-30,0,False
2014-03-31,0,False
2014-04-05,0,False
2014-04-06,0,False
2014-04-07,0,False
2014-04-08,0,False
2014-04-09,0,False
2014-04-12,0,False
2014-04-13,0,False
2014-04-14,0,False
2014-04-15,0,False
2014-04-16,0,False
2014-04-19,0,False
2014-04-20,0,False
2014-04-21,0,False
2014-04-22,0,False
2014-04-23,0,False
2014-04-26,0,False
2014-04-27,0,False
2014-04-28,0,False
2014-04-29,0,False
2014-04-30,0,False
2014-05-03,0,False
2014-05-04,0,False
2014-05-05,0,False
2014-05-06,4,True
2014-05-07,8,True
2014-05-10,10,True
2014-05-11,10,True
2014-05-12,8,True
2014-05-14,11,True
2014-05-17,13,True
2014-05-18,13,True
2014-05-19,13,True
2014-05-20,16,True
2014-05-21,15,True
2014-05-24,16,True
2014-05-25,16,True
2014-05-26,21,True
2014-05-28,24,True
2014-05-31,30,True
2014-06-01,33,True
2014-06-02,25,True
2014-06-03,23,True
2014-06-07,30,True
2014-06-08,27,True
2014-06-09,27,True
2014-06-10,36,True
2014-06-11,44,True
2014-06-14,49,True
2014-06-15,47,True
2014-06-16,49,True
2014-06-17,47,True
2014-06-18,44,True
2014-06-21,39,True
2014-06-22,46,True
2014-06-23,48,True
2014-06-24,43,True
2014-06-25,38,True
2014-06-28,30,True
2014-06-29,31,True
2014-06-30,28,True
2014-07-01,39,True
2014-07-02,41,True
2014-07-05,42,True
2014-07-06,41,True
2014-07-07,38,True
2014-07-08,36,True
2014-07-09,38,True
2014-07-12,41,True
2014-07-13,41,True
2014-07-14,42,True
2014-07-15,42,True
2014-07-16,36,True
2014-07-20,38,True
2014-07-21,37,True
2014-07-22,36,True
2014-07-23,29,True
2014-07-26,51,True
2014-07-27,51,True
2014-07-28,49,True
2014-08-02,56,True
2014-08-03,56,True
2014-08-04,62,True
2014-08-05,60,True
2014-08-06,58,True
2014-08-09,60,True
2014-08-10,63,True
2014-08-11,66,True
2014-08-12,65,True
2014-08-13,66,True
2014-08-16,69,True
2014-08-17,65,True
2014-08-18,56,True
2014-08-19,57,True
2014-08-20,60,True
2014-08-23,51,True
2014-08-24,56,True
2014-08-25,51,True
2014-08-26,45,True
2014-08-27,44,True
2014-08-30,53,True
2014-08-31,52,True
2014-09-01,52,True
2014-09-02,64,True
2014-09-03,67,True
2014-09-06,68,True
2014-09-07,71,True
2014-09-08,79,True
2014-09-09,65,True
2014-09-10,76,True
2014-09-13,92,True
2014-09-14,84,True
2014-09-15,86,True
2014-09-16,89,True
2014-09-17,87,True
2014-09-20,79,True
2014-09-21,86,True
2014-09-22,78,True
2014-09-23,78,True
2014-09-24,72,True
2014-09-27,78,True
2014-09-28,70,True
2014-09-29,70,True
2014-09-30,65,True
2014-10-01,71,True
2014-10-04,73,True
2014-10-06,67,True
2014-10-07,72,True
2014-10-08,67,True
2014-10-11,70,True
2014-10-12,74,True
2014-10-14,75,True
2014-10-15,80,True
2014-10-18,70,True
2014-10-19,63,True
2014-10-20,59,True
2014-10-21,68,True
2014-10-22,67,True
2014-10-25,71,True
2014-10-26,76,True
2014-10-27,65,True
2014-10-28,73,True
2014-10-29,62,True
2014-11-01,52,True
2014-11-02,53,True
2014-11-05,47,True
2014-11-08,43,True
2014-11-09,47,True
2014-11-10,41,True
2014-11-11,41,True
2014-11-12,39,True
2014-11-15,43,True
2014-11-16,39,True
2014-11-17,39,True
2014-11-18,39,True
2014-11-19,51,True
2014-11-22,59,True
2014-11-23,44,True
2014-11-24,49,True
2014-11-25,60,True
2014-11-26,55,True
2014-11-29,73,True
2014-11-30,80,True
2014-12-01,75,True
2014-12-02,69,True
2014-12-03,74,True
2014-12-06,84,True
2014-12-07,82,True
2014-12-08,76,True
2014-12-09,80,True
2014-12-10,80,True
2014-12-14,87,True
2014-12-15,88,True
2014-12-16,85,True
2014-12-17,82,True
2014-12-20,92,True
2014-12-22,77,True
2014-12-24,97,True
2014-12-27,88,True
2014-12-28,85,True
2014-12-29,85,True
2014-12-30,94,True
2014-12-31,99,True
2015-01-03,106,True
2015-01-04,100,True
2015-01-05,109,True
2015-01-06,93,True
2015-01-07,105,True
2015-01-10,109,True
2015-01-11,101,True
2015-01-12,110,True
2015-01-13,104,True
2015-01-14,98,True
2015-01-17,106,True
2015-01-18,101,True
2015-01-19,87,True
2015-01-20,79,True
2015-01-21,61,True
2015-01-24,67,True
2015-01-25,65,True
2015-01-26,71,True
2015-01-27,64,True
2015-01-28,84,True
2015-01-31,85,True
2015-02-01,80,True
2015-02-02,79,True
2015-02-03,84,True
2015-02-04,87,True
2015-02-07,84,True
2015-02-08,78,True
2015-02-09,85,True
2015-02-10,76,True
2015-02-14,77,True
2015-02-15,83,True
2015-02-16,95,True
2015-02-17,85,True
2015-02-18,98,True
2015-02-21,94,True
2015-02-22,110,True
2015-02-23,108,True
2015-02-24,110,True
2015-02-25,121,True
2015-02-28,110,True
2015-03-01,107,True
2015-03-02,104,True
2015-03-03,96,True
2015-03-04,90,True
2015-03-07,97,True
2015-03-08,91,True
2015-03-09,99,True
2015-03-10,103,True
2015-03-11,104,True
2015-03-14,97,True
2015-03-15,86,True
2015-03-16,93,True
2015-03-17,103,True
2015-03-18,93,True
2015-03-25,77,True
2015-03-28,78,True
2015-03-29,87,True
2015-03-30,87,True
2015-03-31,88,True
2015-04-04,67,True
2015-04-05,60,True
2015-04-06,69,True
2015-04-07,76,True
2015-04-08,80,True
2015-04-11,83,True
2015-04-12,87,True
2015-04-13,96,True
2015-04-14,95,True
2015-04-15,103,True
2015-04-18,102,True
2015-04-19,92,True
2015-04-20,98,True
2015-04-21,99,True
2015-04-22,97,True
2015-04-25,101,True
2015-04-26,103,True
2015-04-27,110,True
2015-04-28,109,True
2015-04-29,99,True
2015-05-03,103,True
2015-05-04,108,True
2015-05-05,106,True
2015-05-06,105,True
2015-05-09,118,True
2015-05-10,112,True
2015-05-11,104,True
2015-05-12,97,True
2015-05-13,103,True
2015-05-17,100,True
2015-05-18,97,True
2015-05-19,95,True
2015-05-20,85,True
2015-05-23,102,True
2015-05-24,87,True
2015-05-25,93,True
2015-05-26,95,True
2015-05-27,93,True
2015-05-30,85,True
2015-05-31,90,True
2015-06-01,90,True
2015-06-02,90,True
2015-06-06,100,True
2015-06-07,116,True
2015-06-08,109,True
2015-06-09,95,True
2015-06-10,98,True
2015-06-13,99,True
2015-06-14,107,True
2015-06-15,98,True
2015-06-16,104,True
2015-06-17,106,True
2015-06-20,103,True
2015-06-21,107,True
2015-06-22,97,True
2015-06-23,97,True
2015-06-24,91,True
2015-06-27,87,True
2015-06-28,102,True
2015-06-29,90,True
2015-06-30,84,True
2015-07-01,97,True
2015-07-04,108,True
2015-07-05,105,True
2015-07-06,90,True
2015-07-07,86,True
2015-07-11,83,True
2015-07-12,82,True
2015-07-13,73,True
2015-07-14,57,True
2015-07-15,59,True
2015-07-20,69,True
2015-07-21,60,True
2015-07-22,78,True
2015-07-25,88,True
2015-07-26,89,True
