fold_id,partition,events,positive_labels,negative_labels,positive_fraction
1,train,62717,31501,31216,0.5022721112298101
1,validation,10344,3990,6354,0.3857308584686775
2,train,73590,35738,37852,0.4856366354124202
2,validation,10408,4857,5551,0.46666026133743277
3,train,83825,39788,44037,0.4746555323590814
3,validation,10397,7552,2845,0.7263633740502068
4,train,94059,46862,47197,0.49821920284077015
4,validation,10319,9164,1155,0.888070549471848
5,train,107360,57898,49462,0.5392883755588673
5,validation,10372,5260,5112,0.5071345931353645
