symbol,calendar_observations,first_date,last_date,invalid_date_rows
آ س پ,1538,2014-03-19,2021-03-17,0
آباد,1594,2014-03-19,2021-03-17,0
آسيا,1570,2014-03-19,2021-03-17,0
آينده,1173,2014-03-19,2021-03-17,0
آپ,1022,2016-10-17,2021-03-17,0
اتكام,1110,2016-01-13,2021-03-17,0
اتكاي,1417,2014-03-26,2021-03-17,0
اخابر,1488,2014-03-19,2021-03-17,0
ارفع,1540,2014-03-19,2021-03-17,0
اعتلا,1585,2014-03-19,2021-03-17,0
افرا,1499,2014-03-19,2021-03-17,0
البرز,1548,2014-03-19,2021-03-17,0
اميد,723,2017-12-20,2021-03-15,0
اوان,831,2017-08-09,2021-03-17,0
اپرداز,1008,2016-08-02,2021-03-17,0
بالبر,1477,2014-03-19,2021-03-17,0
بترانس,1575,2014-03-19,2021-03-16,0
بركت,935,2017-02-05,2021-03-17,0
بساما,1416,2014-03-19,2021-03-17,0
بسويچ,1514,2014-03-19,2021-03-17,0
بشهاب,1504,2014-03-19,2021-03-17,0
بفجر,1146,2016-02-17,2021-03-17,0
بكاب,1492,2014-07-05,2021-03-17,0
بكام,1451,2014-03-25,2021-03-17,0
بكهنوج,983,2016-10-03,2021-03-17,0
بموتو,1525,2014-03-19,2021-03-17,0
بمپنا,1581,2014-03-19,2021-03-17,0
بنيرو,1551,2014-03-19,2021-03-17,0
بهپاك,1446,2014-04-14,2021-03-17,0
بورس,887,2016-12-21,2021-03-17,0
بپاس,1295,2014-03-19,2021-03-17,0
تابا,973,2015-03-18,2021-03-17,0
تايرا,1547,2014-03-19,2021-03-17,0
تاپيكو,1501,2014-03-19,2021-03-17,0
تبرك,682,2018-03-19,2021-03-17,0
تشتاد,886,2014-06-07,2021-03-17,0
تكشا,1548,2014-03-19,2021-03-17,0
تكمبا,1544,2014-04-27,2021-03-17,0
تكنار,1072,2014-03-19,2021-03-17,0
تكنو,1560,2014-04-07,2021-03-17,0
تليسه,1006,2016-08-14,2021-03-17,0
تمحركه,1433,2014-03-25,2021-03-17,0
توريل,1565,2014-03-19,2021-03-17,0
تيپيكو,1610,2014-03-19,2021-03-16,0
تپكو,1297,2014-03-26,2021-03-03,0
تپمپي,1422,2014-03-19,2021-03-17,0
تپولا,684,2015-09-07,2021-03-17,0
ثاخت,1551,2014-03-25,2021-03-17,0
ثاصفا,911,2014-04-09,2021-02-09,0
ثالوند,1076,2016-05-24,2021-03-17,0
ثامان,1555,2014-03-19,2021-03-17,0
ثاژن,1317,2014-03-19,2021-03-17,0
ثباغ,1611,2014-03-19,2021-03-17,0
ثتوسا,956,2016-05-31,2021-03-17,0
ثرود,1483,2014-09-01,2021-03-17,0
ثشاهد,1611,2014-03-19,2021-03-17,0
ثشرق,1569,2014-03-19,2021-03-17,0
ثعتما,882,2014-05-05,2021-03-17,0
ثعمرا,1530,2014-03-19,2021-03-17,0
ثغرب,1580,2014-03-19,2021-03-17,0
ثفارس,1575,2014-03-19,2021-03-17,0
ثقزوي,1128,2014-06-17,2021-03-17,0
ثمسكن,1604,2014-03-19,2021-03-17,0
ثنام,895,2014-08-13,2021-03-17,0
ثنظام,919,2014-08-11,2021-03-17,0
ثنور,810,2015-12-07,2021-03-17,0
ثنوسا,1506,2014-03-19,2021-03-17,0
ثپرديس,1243,2015-09-16,2021-03-17,0
جم,1565,2014-03-19,2021-03-17,0
جهرم,860,2014-03-26,2021-03-17,0
حآسا,772,2017-10-09,2021-03-17,0
حبندر,930,2014-08-31,2021-03-17,0
حتايد,1401,2014-11-23,2021-03-17,0
حتوكا,1604,2014-03-25,2021-03-17,0
حرهشا,908,2014-03-30,2021-03-14,0
حريل,1091,2016-03-16,2021-03-17,0
