fold_id,true_positive,false_positive,true_negative,false_negative,signals,baseline_signals,signal_coverage,events,dates,dates_with_signal,precision,specificity,sensitivity,candidate_id,gate_name,threshold_quantile,minimum_score
1,247,314,6040,3743,561,561,1.0,10344,92,92,0.44028520499108736,0.9505823103556814,0.06190476190476191,G0_all__q0000,G0_all,0.0,0.3844631016254425
2,295,271,5280,4562,566,566,1.0,10408,91,91,0.5212014134275619,0.9511799675734102,0.060737080502367716,G0_all__q0000,G0_all,0.0,0.3844631016254425
3,473,121,2724,7079,594,594,1.0,10397,136,136,0.7962962962962963,0.957469244288225,0.0626324152542373,G0_all__q0000,G0_all,0.0,0.3844631016254425
4,560,64,1091,8604,624,624,1.0,10319,231,231,0.8974358974358975,0.9445887445887445,0.06110868616324749,G0_all__q0000,G0_all,0.0,0.3844631016254425
5,412,259,4853,4848,671,671,1.0,10372,288,288,0.6140089418777943,0.9493348982785602,0.07832699619771863,G0_all__q0000,G0_all,0.0,0.3844631016254425
1,199,257,6097,3791,456,561,0.8128342245989305,10344,92,79,0.43640350877192985,0.9595530374567202,0.04987468671679198,G0_all__q0250,G0_all,0.25,0.5445379614830017
2,255,231,5320,4602,486,566,0.8586572438162544,10408,91,85,0.5246913580246914,0.9583858764186634,0.05250154416306362,G0_all__q0250,G0_all,0.25,0.5445379614830017
3,193,45,2800,7359,238,594,0.4006734006734007,10397,136,99,0.8109243697478992,0.984182776801406,0.02555614406779661,G0_all__q0250,G0_all,0.25,0.5445379614830017
4,411,45,1110,8753,456,624,0.7307692307692307,10319,231,208,0.9013157894736842,0.961038961038961,0.04484941073766914,G0_all__q0250,G0_all,0.25,0.5445379614830017
5,379,247,4865,4881,626,671,0.9329359165424739,10372,288,265,0.6054313099041534,0.9516823161189358,0.07205323193916349,G0_all__q0250,G0_all,0.25,0.5445379614830017
1,151,186,6168,3839,337,561,0.6007130124777184,10344,92,63,0.44807121661721067,0.9707271010387157,0.037844611528822056,G0_all__q0500,G0_all,0.5,0.5998151302337646
2,140,123,5428,4717,263,566,0.46466431095406363,10408,91,65,0.532319391634981,0.9778418303008467,0.02882437718756434,G0_all__q0500,G0_all,0.5,0.5998151302337646
3,81,7,2838,7471,88,594,0.14814814814814814,10397,136,39,0.9204545454545454,0.9975395430579965,0.010725635593220338,G0_all__q0500,G0_all,0.5,0.5998151302337646
4,251,18,1137,8913,269,624,0.4310897435897436,10319,231,150,0.9330855018587361,0.9844155844155844,0.027389786119598428,G0_all__q0500,G0_all,0.5,0.5998151302337646
5,349,202,4910,4911,551,671,0.8211624441132638,10372,288,245,0.6333938294010889,0.9604851330203443,0.06634980988593156,G0_all__q0500,G0_all,0.5,0.5998151302337646
1,90,110,6244,3900,200,561,0.35650623885918004,10344,92,50,0.45,0.9826880705067674,0.022556390977443608,G0_all__q0650,G0_all,0.65,0.63206847012043
2,78,55,5496,4779,133,566,0.23498233215547704,10408,91,44,0.5864661654135338,0.990091875337777,0.01605929586164299,G0_all__q0650,G0_all,0.65,0.63206847012043
3,55,3,2842,7497,58,594,0.09764309764309764,10397,136,28,0.9482758620689655,0.998945518453427,0.007282838983050847,G0_all__q0650,G0_all,0.65,0.63206847012043
4,202,12,1143,8962,214,624,0.34294871794871795,10319,231,129,0.9439252336448598,0.9896103896103896,0.022042776080314273,G0_all__q0650,G0_all,0.65,0.63206847012043
5,289,162,4950,4971,451,671,0.6721311475409836,10372,288,225,0.6407982261640798,0.9683098591549296,0.05494296577946768,G0_all__q0650,G0_all,0.65,0.63206847012043
1,52,61,6293,3938,113,561,0.2014260249554367,10344,92,38,0.46017699115044247,0.9903997481901164,0.013032581453634085,G0_all__q0750,G0_all,0.75,0.6510501205921173
2,38,35,5516,4819,73,566,0.12897526501766785,10408,91,26,0.5205479452054794,0.9936948297604036,0.007823759522338892,G0_all__q0750,G0_all,0.75,0.6510501205921173
3,42,1,2844,7510,43,594,0.0723905723905724,10397,136,21,0.9767441860465116,0.9996485061511423,0.005561440677966102,G0_all__q0750,G0_all,0.75,0.6510501205921173
4,170,9,1146,8994,179,624,0.28685897435897434,10319,231,115,0.9497206703910615,0.9922077922077922,0.018550851156700132,G0_all__q0750,G0_all,0.75,0.6510501205921173
5,237,109,5003,5023,346,671,0.5156482861400894,10372,288,190,0.684971098265896,0.9786776212832551,0.04505703422053232,G0_all__q0750,G0_all,0.75,0.6510501205921173
1,247,314,6040,3743,561,561,1.0,10344,92,92,0.44028520499108736,0.9505823103556814,0.06190476190476191,G1_block_broad_decline__q0000,G1_block_broad_decline,0.0,0.3844631016254425
2,295,271,5280,4562,566,566,1.0,10408,91,91,0.5212014134275619,0.9511799675734102,0.060737080502367716,G1_block_broad_decline__q0000,G1_block_broad_decline,0.0,0.3844631016254425
3,473,121,2724,7079,594,594,1.0,10397,136,136,0.7962962962962963,0.957469244288225,0.0626324152542373,G1_block_broad_decline__q0000,G1_block_broad_decline,0.0,0.3844631016254425
4,560,64,1091,8604,624,624,1.0,10319,231,231,0.8974358974358975,0.9445887445887445,0.06110868616324749,G1_block_broad_decline__q0000,G1_block_broad_decline,0.0,0.3844631016254425
5,283,217,4895,4977,500,671,0.7451564828614009,10372,288,240,0.566,0.9575508607198748,0.05380228136882129,G1_block_broad_decline__q0000,G1_block_broad_decline,0.0,0.3844631016254425
1,199,257,6097,3791,456,561,0.8128342245989305,10344,92,79,0.43640350877192985,0.9595530374567202,0.04987468671679198,G1_block_broad_decline__q0250,G1_block_broad_decline,0.25,0.5445379614830017
2,255,231,5320,4602,486,566,0.8586572438162544,10408,91,85,0.5246913580246914,0.9583858764186634,0.05250154416306362,G1_block_broad_decline__q0250,G1_block_broad_decline,0.25,0.5445379614830017
3,193,45,2800,7359,238,594,0.4006734006734007,10397,136,99,0.8109243697478992,0.984182776801406,0.02555614406779661,G1_block_broad_decline__q0250,G1_block_broad_decline,0.25,0.5445379614830017
4,411,45,1110,8753,456,624,0.7307692307692307,10319,231,208,0.9013157894736842,0.961038961038961,0.04484941073766914,G1_block_broad_decline__q0250,G1_block_broad_decline,0.25,0.5445379614830017
5,267,205,4907,4993,472,671,0.7034277198211625,10372,288,228,0.565677966101695,0.9598982785602503,0.05076045627376426,G1_block_broad_decline__q0250,G1_block_broad_decline,0.25,0.5445379614830017
1,151,186,6168,3839,337,561,0.6007130124777184,10344,92,63,0.44807121661721067,0.9707271010387157,0.037844611528822056,G1_block_broad_decline__q0500,G1_block_broad_decline,0.5,0.5998151302337646
2,140,123,5428,4717,263,566,0.46466431095406363,10408,91,65,0.532319391634981,0.9778418303008467,0.02882437718756434,G1_block_broad_decline__q0500,G1_block_broad_decline,0.5,0.5998151302337646
3,81,7,2838,7471,88,594,0.14814814814814814,10397,136,39,0.9204545454545454,0.9975395430579965,0.010725635593220338,G1_block_broad_decline__q0500,G1_block_broad_decline,0.5,0.5998151302337646
4,251,18,1137,8913,269,624,0.4310897435897436,10319,231,150,0.9330855018587361,0.9844155844155844,0.027389786119598428,G1_block_broad_decline__q0500,G1_block_broad_decline,0.5,0.5998151302337646
5,237,160,4952,5023,397,671,0.5916542473919523,10372,288,208,0.5969773299748111,0.9687010954616588,0.04505703422053232,G1_block_broad_decline__q0500,G1_block_broad_decline,0.5,0.5998151302337646
1,90,110,6244,3900,200,561,0.35650623885918004,10344,92,50,0.45,0.9826880705067674,0.022556390977443608,G1_block_broad_decline__q0650,G1_block_broad_decline,0.65,0.63206847012043
2,78,55,5496,4779,133,566,0.23498233215547704,10408,91,44,0.5864661654135338,0.990091875337777,0.01605929586164299,G1_block_broad_decline__q0650,G1_block_broad_decline,0.65,0.63206847012043
3,55,3,2842,7497,58,594,0.09764309764309764,10397,136,28,0.9482758620689655,0.998945518453427,0.007282838983050847,G1_block_broad_decline__q0650,G1_block_broad_decline,0.65,0.63206847012043
4,202,12,1143,8962,214,624,0.34294871794871795,10319,231,129,0.9439252336448598,0.9896103896103896,0.022042776080314273,G1_block_broad_decline__q0650,G1_block_broad_decline,0.65,0.63206847012043
5,188,126,4986,5072,314,671,0.46795827123695977,10372,288,189,0.5987261146496815,0.9753521126760564,0.03574144486692015,G1_block_broad_decline__q0650,G1_block_broad_decline,0.65,0.63206847012043
1,52,61,6293,3938,113,561,0.2014260249554367,10344,92,38,0.46017699115044247,0.9903997481901164,0.013032581453634085,G1_block_broad_decline__q0750,G1_block_broad_decline,0.75,0.6510501205921173
