candidate_id,gate_name,gate_complexity,allowed_regimes,threshold_quantile,minimum_score,true_positive,false_positive,true_negative,false_negative,events,signals,baseline_signals,signal_coverage,dates,dates_with_signal,zero_signal_dates,date_coverage,precision,specificity,sensitivity,prevalence,minimum_fold_signal_coverage,minimum_fold_precision,mean_fold_precision,std_fold_precision,minimum_fold_specificity,coverage_constraints_pass,minimum_pooled_coverage_required,minimum_fold_coverage_required,policy_selection_rank,selected_by_policy_hierarchy
G3_recovery_only__q0000,G3_recovery_only,3,"[""recovery_negative"", ""recovery_positive""]",0.0,0.3844631016254425,994,404,20613,29829,51840,1398,3016,0.4635278514588859,838,386,452,0.4606205250596659,0.7110157367668097,0.9807774658609697,0.03224864549200272,0.594579475308642,0.29508196721311475,0.4405594405594406,0.6978064824070618,0.1876820202356977,0.9748190116462071,True,0.25,0.25,1.0,True
G2_block_decline_and_deterioration__q0000,G2_block_decline_and_deterioration,2,"[""recovery_negative"", ""recovery_positive"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.0,0.3844631016254425,1024,417,20600,29799,51840,1441,3016,0.47778514588859416,838,428,410,0.5107398568019093,0.710617626648161,0.9801589189703573,0.03322194465172112,0.594579475308642,0.3442622950819672,0.4405594405594406,0.6970141131047727,0.18631885284330033,0.9748190116462071,True,0.25,0.25,2.0,False
G1_block_broad_decline__q0250,G1_block_broad_decline,1,"[""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.25,0.5445379614830017,1325,783,20234,29498,51840,2108,3016,0.6989389920424404,838,699,139,0.834128878281623,0.6285578747628083,0.962744444973117,0.04298737955422899,0.594579475308642,0.4006734006734007,0.43640350877192985,0.6478025984239799,0.1774643953972144,0.9583858764186634,True,0.25,0.25,3.0,False
G0_all__q0250,G0_all,0,"[""broad_decline"", ""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.25,0.5445379614830017,1437,825,20192,29386,51840,2262,3016,0.75,838,736,102,0.8782816229116945,0.6352785145888594,0.9607460627111386,0.04662102975051098,0.594579475308642,0.4006734006734007,0.43640350877192985,0.6557532671844716,0.174472269061051,0.9516823161189358,True,0.25,0.25,4.0,False
G1_block_broad_decline__q0000,G1_block_broad_decline,1,"[""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.0,0.3844631016254425,1858,987,20030,28965,51840,2845,3016,0.9433023872679045,838,790,48,0.9427207637231504,0.6530755711775044,0.9530380168435076,0.06027966129189242,0.594579475308642,0.7451564828614009,0.44028520499108736,0.6442437624301686,0.17325520450699777,0.9445887445887445,True,0.25,0.25,5.0,False
G0_all__q0000,G0_all,0,"[""broad_decline"", ""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.0,0.3844631016254425,1987,1029,19988,28836,51840,3016,3016,1.0,838,838,0,1.0,0.6588196286472149,0.9510396345815293,0.0644648476786815,0.594579475308642,1.0,0.44028520499108736,0.6538455508057275,0.16995170829289633,0.9445887445887445,True,0.25,0.25,6.0,False
G3_recovery_only__q0750,G3_recovery_only,3,"[""recovery_negative"", ""recovery_positive""]",0.75,0.6510501205921173,248,69,20948,30575,51840,317,3016,0.10510610079575597,838,194,644,0.2315035799522673,0.7823343848580442,0.9967169434267498,0.008045939720338707,0.594579475308642,0.019434628975265017,0.35294117647058826,0.664568328523595,0.2707551253623875,0.9935446009389671,False,0.25,0.25,,False
G2_block_decline_and_deterioration__q0750,G2_block_decline_and_deterioration,2,"[""recovery_negative"", ""recovery_positive"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.75,0.6510501205921173,269,77,20940,30554,51840,346,3016,0.11472148541114058,838,222,616,0.2649164677804296,0.7774566473988439,0.9963362991863729,0.008727249132141582,0.594579475308642,0.019434628975265017,0.35294117647058826,0.6662093087379095,0.2710327808146979,0.99197965571205,False,0.25,0.25,,False
G3_recovery_only__q0650,G3_recovery_only,3,"[""recovery_negative"", ""recovery_positive""]",0.65,0.63206847012043,334,116,20901,30489,51840,450,3016,0.14920424403183025,838,231,607,0.2756563245823389,0.7422222222222222,0.9944806585145358,0.010836063978198099,0.594579475308642,0.07575757575757576,0.4307692307692308,0.7022233558586382,0.20852283029234445,0.9902190923317684,False,0.25,0.25,,False
G2_block_decline_and_deterioration__q0650,G2_block_decline_and_deterioration,2,"[""recovery_negative"", ""recovery_positive"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.65,0.63206847012043,361,124,20893,30462,51840,485,3016,0.16080901856763927,838,265,573,0.3162291169451074,0.7443298969072165,0.9941000142741591,0.011712033221944652,0.594579475308642,0.07597173144876325,0.4307692307692308,0.7073801251531823,0.20851485040463708,0.9886541471048513,False,0.25,0.25,,False
G1_block_broad_decline__q0750,G1_block_broad_decline,1,"[""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.75,0.6510501205921173,456,186,20831,30367,51840,642,3016,0.21286472148541113,838,362,476,0.431980906921241,0.7102803738317757,0.9911500214112385,0.01479414722771956,0.594579475308642,0.0723905723905724,0.46017699115044247,0.7130618901826306,0.21427401682660302,0.9843505477308294,False,0.25,0.25,,False
G3_recovery_only__q0500,G3_recovery_only,3,"[""recovery_negative"", ""recovery_positive""]",0.5,0.5998151302337646,476,201,20816,30347,51840,677,3016,0.22446949602122016,838,266,572,0.31742243436754175,0.7031019202363368,0.990436313460532,0.015443013334198489,0.594579475308642,0.09427609427609428,0.4552238805970149,0.7048437710914326,0.20601431371996504,0.988511174063582,False,0.25,0.25,,False
G2_block_decline_and_deterioration__q0500,G2_block_decline_and_deterioration,2,"[""recovery_negative"", ""recovery_positive"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.5,0.5998151302337646,505,211,20806,30318,51840,716,3016,0.23740053050397877,838,304,534,0.3627684964200477,0.7053072625698324,0.9899605081600609,0.016383869188592935,0.594579475308642,0.10437710437710437,0.4552238805970149,0.7047020980425083,0.20382589723902628,0.9872848200312989,False,0.25,0.25,,False
G0_all__q0750,G0_all,0,"[""broad_decline"", ""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.75,0.6510501205921173,539,215,20802,30284,51840,754,3016,0.25,838,390,448,0.46539379474940334,0.7148541114058355,0.9897701860398724,0.01748694156960711,0.594579475308642,0.0723905723905724,0.46017699115044247,0.7184321782118781,0.21316332479762984,0.9786776212832551,False,0.25,0.25,,False
G1_block_broad_decline__q0650,G1_block_broad_decline,1,"[""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.65,0.63206847012043,613,306,20711,30210,51840,919,3016,0.3047082228116711,838,440,398,0.5250596658711217,0.6670293797606094,0.9854403578055859,0.019887746163579145,0.594579475308642,0.09764309764309764,0.45,0.7054786751554081,0.20329125674133236,0.9753521126760564,False,0.25,0.25,,False
G3_recovery_only__q0250,G3_recovery_only,3,"[""recovery_negative"", ""recovery_positive""]",0.25,0.5445379614830017,719,315,20702,30104,51840,1034,3016,0.34283819628647216,838,341,497,0.40692124105011934,0.695357833655706,0.985012133035162,0.023326736527917464,0.594579475308642,0.1835016835016835,0.4507042253521127,0.705602669457259,0.195081456945711,0.97964330751216,False,0.25,0.25,,False
G2_block_decline_and_deterioration__q0250,G2_block_decline_and_deterioration,2,"[""recovery_negative"", ""recovery_positive"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.25,0.5445379614830017,749,328,20689,30074,51840,1077,3016,0.35709549071618035,838,383,455,0.45704057279236276,0.6954503249767874,0.9843935861445496,0.024300035687635856,0.594579475308642,0.20033670033670034,0.4507042253521127,0.7015944827183652,0.18984280654956545,0.97964330751216,False,0.25,0.25,,False
G0_all__q0650,G0_all,0,"[""broad_decline"", ""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.65,0.63206847012043,714,342,20675,30109,51840,1056,3016,0.35013262599469497,838,476,362,0.568019093078759,0.6761363636363636,0.9837274587238902,0.023164520001297734,0.594579475308642,0.09764309764309764,0.45,0.7138930974582878,0.19953451537570463,0.9683098591549296,False,0.25,0.25,,False
G1_block_broad_decline__q0500,G1_block_broad_decline,1,"[""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.5,0.5998151302337646,860,494,20523,29963,51840,1354,3016,0.4489389920424403,838,525,313,0.6264916467780429,0.6351550960118169,0.9764952181567302,0.02790124257859391,0.594579475308642,0.14814814814814814,0.44807121661721067,0.6861815971080569,0.20207567164475934,0.9687010954616588,False,0.25,0.25,,False
G0_all__q0500,G0_all,0,"[""broad_decline"", ""recovery_negative"", ""recovery_positive"", ""deterioration"", ""neutral_transition"", ""broad_advance"", ""warmup_unavailable""]",0.5,0.5998151302337646,972,536,20481,29851,51840,1508,3016,0.5,838,562,276,0.6706443914081146,0.6445623342175066,0.9744968358947519,0.0315348927748759,0.594579475308642,0.14814814814814814,0.44807121661721067,0.6934648969933124,0.19936739964799435,0.9604851330203443,False,0.25,0.25,,False
