dEven,fold_id,market_breadth_regime,candidate_events,gate_pass_events,threshold_pass_events,policy_eligible_events,daily_maximum_quota,selected_signals,selected_score_cutoff,zero_signal_date
2017-09-19,1,recovery_negative,119,119,119,119,6,6,0.6733298897743225,False
2017-09-20,1,recovery_negative,121,121,121,121,7,7,0.6682710647583008,False
2017-09-23,1,recovery_negative,119,119,119,119,6,6,0.6279007196426392,False
2017-09-24,1,recovery_negative,110,110,110,110,6,6,0.6141920685768127,False
2017-09-25,1,recovery_negative,111,111,111,111,6,6,0.5907748937606812,False
2017-09-26,1,recovery_negative,114,114,114,114,6,6,0.5972797870635986,False
2017-09-27,1,deterioration,108,0,108,0,6,0,,True
2017-10-02,1,deterioration,122,0,122,0,7,0,,True
2017-10-03,1,deterioration,126,0,126,0,7,0,,True
2017-10-04,1,deterioration,123,0,123,0,7,0,,True
2017-10-07,1,deterioration,115,0,115,0,6,0,,True
2017-10-08,1,deterioration,114,0,114,0,6,0,,True
2017-10-09,1,deterioration,103,0,103,0,6,0,,True
2017-10-10,1,deterioration,110,0,110,0,6,0,,True
2017-10-11,1,deterioration,108,0,108,0,6,0,,True
2017-10-14,1,recovery_negative,116,116,116,116,6,6,0.6605981588363647,False
2017-10-15,1,recovery_negative,120,120,120,120,6,6,0.6374975442886353,False
2017-10-16,1,recovery_negative,122,122,122,122,7,7,0.6274148225784302,False
2017-10-17,1,recovery_negative,109,109,109,109,6,6,0.613592803478241,False
2017-10-18,1,recovery_negative,109,109,109,109,6,6,0.6359882950782776,False
2017-10-21,1,recovery_negative,110,110,110,110,6,6,0.5742369890213013,False
2017-10-22,1,recovery_negative,104,104,104,104,6,6,0.5635892748832703,False
2017-10-23,1,deterioration,92,0,92,0,5,0,,True
2017-10-24,1,deterioration,83,0,83,0,5,0,,True
2017-10-25,1,deterioration,89,0,89,0,5,0,,True
2017-10-28,1,deterioration,99,0,99,0,5,0,,True
2017-10-29,1,deterioration,97,0,97,0,5,0,,True
2017-10-30,1,deterioration,108,0,108,0,6,0,,True
2017-10-31,1,recovery_negative,105,105,105,105,6,6,0.6262127757072449,False
2017-11-01,1,recovery_negative,114,114,114,114,6,6,0.5671981573104858,False
2017-11-04,1,recovery_negative,120,120,120,120,6,6,0.6237110495567322,False
2017-11-05,1,recovery_negative,109,109,109,109,6,6,0.534494936466217,False
2017-11-06,1,recovery_negative,117,117,117,117,6,6,0.5353427529335022,False
2017-11-07,1,recovery_negative,108,108,108,108,6,6,0.5880289077758789,False
2017-11-08,1,deterioration,109,0,109,0,6,0,,True
2017-11-11,1,deterioration,113,0,113,0,6,0,,True
2017-11-12,1,deterioration,107,0,107,0,6,0,,True
2017-11-13,1,deterioration,114,0,114,0,6,0,,True
2017-11-14,1,deterioration,108,0,108,0,6,0,,True
2017-11-15,1,deterioration,122,0,122,0,7,0,,True
2017-11-18,1,deterioration,120,0,120,0,6,0,,True
2017-11-20,1,deterioration,120,0,120,0,6,0,,True
2017-11-21,1,deterioration,124,0,124,0,7,0,,True
2017-11-22,1,deterioration,129,0,129,0,7,0,,True
2017-11-25,1,recovery_negative,126,126,126,126,7,7,0.6337945461273193,False
2017-11-26,1,recovery_negative,134,134,134,134,7,7,0.6157746315002441,False
2017-11-28,1,recovery_negative,124,124,124,124,7,7,0.612751841545105,False
2017-11-29,1,recovery_negative,139,139,139,139,7,7,0.6209841370582581,False
2017-12-02,1,recovery_negative,137,137,137,137,7,7,0.6263762712478638,False
2017-12-03,1,deterioration,133,0,133,0,7,0,,True
2017-12-04,1,deterioration,130,0,130,0,7,0,,True
2017-12-05,1,deterioration,131,0,131,0,7,0,,True
2017-12-09,1,deterioration,137,0,137,0,7,0,,True
2017-12-10,1,deterioration,144,0,144,0,8,0,,True
2017-12-11,1,deterioration,143,0,143,0,8,0,,True
2017-12-12,1,deterioration,133,0,133,0,7,0,,True
2017-12-13,1,recovery_negative,141,141,141,141,8,8,0.5925085544586182,False
2017-12-16,1,recovery_negative,123,123,123,123,7,7,0.5754064917564392,False
2017-12-17,1,recovery_negative,123,123,123,123,7,7,0.5725451707839966,False
2017-12-18,1,recovery_negative,133,133,133,133,7,7,0.5864872336387634,False
2017-12-19,1,recovery_negative,126,126,126,126,7,7,0.5745052099227905,False
2017-12-20,1,recovery_negative,134,134,134,134,7,7,0.5559778809547424,False
2017-12-23,1,recovery_negative,128,128,128,128,7,7,0.5319827795028687,False
2017-12-24,1,recovery_negative,129,129,129,129,7,7,0.5277420878410339,False
2017-12-25,1,recovery_negative,135,135,135,135,7,7,0.572909414768219,False
2017-12-26,1,deterioration,126,0,126,0,7,0,,True
2017-12-27,1,deterioration,132,0,132,0,7,0,,True
2017-12-30,1,deterioration,116,0,116,0,6,0,,True
2017-12-31,1,deterioration,107,0,107,0,6,0,,True
2018-01-01,1,deterioration,102,0,99,0,6,0,,True
2018-01-02,1,deterioration,87,0,29,0,5,0,,True
2018-01-03,1,deterioration,85,0,30,0,5,0,,True
2018-01-06,1,deterioration,94,0,57,0,5,0,,True
2018-01-07,1,recovery_negative,96,96,96,96,5,5,0.4888408780097961,False
2018-01-08,1,recovery_negative,99,99,99,99,5,5,0.5070527195930481,False
2018-01-09,1,recovery_negative,84,84,65,65,5,5,0.4551172852516174,False
2018-01-10,1,recovery_negative,98,98,88,88,5,5,0.4707991480827331,False
2018-01-13,1,recovery_negative,91,91,91,91,5,5,0.4893435537815094,False
2018-01-14,1,recovery_negative,79,79,32,32,4,4,0.428666353225708,False
2018-01-15,1,recovery_negative,75,75,55,55,4,4,0.4521697163581848,False
2018-01-16,1,recovery_negative,69,69,31,31,4,4,0.4571116268634796,False
2018-01-17,1,recovery_negative,88,88,33,33,5,5,0.4387170076370239,False
2018-01-20,1,deterioration,74,0,23,0,4,0,,True
2018-01-21,1,deterioration,70,0,38,0,4,0,,True
2018-01-22,1,deterioration,78,0,46,0,4,0,,True
2018-01-23,1,recovery_negative,94,94,40,40,5,5,0.4475364089012146,False
2018-01-24,1,recovery_negative,98,98,56,56,5,5,0.4727951288223266,False
2018-01-27,1,recovery_negative,112,112,72,72,6,6,0.4706918001174927,False
2018-01-28,1,recovery_negative,110,110,110,110,6,6,0.5575051307678223,False
2018-01-29,1,recovery_negative,125,125,125,125,7,7,0.6009156107902527,False
2018-01-30,1,deterioration,124,0,124,0,7,0,,True
2018-01-31,1,deterioration,128,0,128,0,7,0,,True
2018-02-03,2,deterioration,127,0,127,0,7,0,,True
2018-02-04,2,deterioration,112,0,112,0,6,0,,True
2018-02-05,2,recovery_negative,104,104,104,104,6,6,0.5749560594558716,False
2018-02-06,2,recovery_negative,107,107,107,107,6,6,0.5323042869567871,False
2018-02-07,2,recovery_negative,108,108,108,108,6,6,0.5399717092514038,False
2018-02-10,2,recovery_negative,108,108,108,108,6,6,0.556475043296814,False
2018-02-12,2,recovery_negative,115,115,115,115,6,6,0.5651726722717285,False
2018-02-13,2,deterioration,97,0,97,0,5,0,,True
2018-02-14,2,recovery_negative,113,113,113,113,6,6,0.5234696269035339,False
2018-02-17,2,deterioration,113,0,113,0,6,0,,True
2018-02-18,2,deterioration,121,0,121,0,7,0,,True
2018-02-19,2,deterioration,109,0,109,0,6,0,,True
2018-02-21,2,deterioration,114,0,114,0,6,0,,True
2018-02-24,2,deterioration,116,0,116,0,6,0,,True
2018-02-25,2,deterioration,108,0,108,0,6,0,,True
2018-02-26,2,deterioration,130,0,130,0,7,0,,True
2018-02-27,2,deterioration,114,0,114,0,6,0,,True
2018-02-28,2,deterioration,127,0,127,0,7,0,,True
2018-03-03,2,recovery_negative,129,129,129,129,7,7,0.5663151741027832,False
2018-03-04,2,deterioration,124,0,124,0,7,0,,True
2018-03-05,2,deterioration,133,0,133,0,7,0,,True
2018-03-06,2,deterioration,132,0,132,0,7,0,,True
2018-03-07,2,deterioration,132,0,132,0,7,0,,True
2018-03-10,2,deterioration,140,0,140,0,7,0,,True
2018-03-11,2,deterioration,137,0,137,0,7,0,,True
2018-03-12,2,deterioration,123,0,123,0,7,0,,True
2018-03-13,2,deterioration,122,0,122,0,7,0,,True
2018-03-14,2,deterioration,127,0,127,0,7,0,,True
2018-03-17,2,recovery_negative,116,116,109,109,6,6,0.562963604927063,False
2018-03-18,2,recovery_negative,125,125,125,125,7,7,0.5801293849945068,False
2018-03-19,2,recovery_negative,122,122,122,122,7,7,0.636725902557373,False
2018-03-25,2,recovery_negative,126,126,126,126,7,7,0.587213397026062,False
2018-03-26,2,recovery_negative,145,145,145,145,8,8,0.5682346820831299,False
2018-03-27,2,recovery_negative,146,146,146,146,8,8,0.5759668946266174,False
2018-03-28,2,recovery_negative,152,152,152,152,8,8,0.6255830526351929,False
2018-04-03,2,recovery_negative,142,142,142,142,8,8,0.5839864611625671,False
2018-04-04,2,recovery_negative,148,148,148,148,8,8,0.5846986770629883,False
2018-04-07,2,deterioration,150,0,150,0,8,0,,True
2018-04-08,2,deterioration,130,0,130,0,7,0,,True
2018-04-09,2,deterioration,122,0,122,0,7,0,,True
2018-04-10,2,deterioration,121,0,121,0,7,0,,True
2018-04-11,2,deterioration,118,0,118,0,6,0,,True
2018-04-15,2,deterioration,117,0,117,0,6,0,,True
2018-04-16,2,deterioration,106,0,106,0,6,0,,True
2018-04-17,2,recovery_negative,122,122,122,122,7,7,0.5750278830528259,False
2018-04-18,2,deterioration,117,0,117,0,6,0,,True
2018-04-21,2,recovery_negative,111,111,111,111,6,6,0.6296330690383911,False
2018-04-22,2,recovery_negative,106,106,106,106,6,6,0.6253339052200317,False
2018-04-23,2,recovery_negative,106,106,106,106,6,6,0.6270458698272705,False
2018-04-24,2,recovery_negative,103,103,103,103,6,6,0.6139171719551086,False
2018-04-25,2,recovery_negative,105,105,105,105,6,6,0.5725563764572144,False
2018-04-28,2,deterioration,109,0,109,0,6,0,,True
2018-04-29,2,deterioration,90,0,90,0,5,0,,True
2018-04-30,2,deterioration,92,0,92,0,5,0,,True
2018-05-01,2,deterioration,83,0,83,0,5,0,,True
2018-05-05,2,deterioration,96,0,96,0,5,0,,True
2018-05-06,2,deterioration,90,0,90,0,5,0,,True
2018-05-07,2,recovery_negative,98,98,98,98,5,5,0.5837505459785461,False
2018-05-08,2,recovery_negative,96,96,96,96,5,5,0.5950626134872437,False
2018-05-09,2,recovery_negative,109,109,109,109,6,6,0.6073347926139832,False
2018-05-12,2,recovery_negative,115,115,115,115,6,6,0.6306983232498169,False
2018-05-13,2,recovery_negative,113,113,113,113,6,6,0.5998324155807495,False
2018-05-14,2,recovery_negative,113,113,113,113,6,6,0.5947949290275574,False
2018-05-15,2,recovery_negative,110,110,110,110,6,6,0.5484486222267151,False
2018-05-16,2,recovery_negative,104,104,104,104,6,6,0.5405653715133667,False
2018-05-19,2,recovery_negative,98,98,98,98,5,5,0.5534986257553101,False
2018-05-20,2,recovery_negative,93,93,91,91,5,5,0.5441545844078064,False
2018-05-21,2,recovery_negative,105,105,94,94,6,6,0.5336949825286865,False
2018-05-22,2,deterioration,103,0,82,0,6,0,,True
2018-05-23,2,recovery_negative,117,117,109,109,6,6,0.5483664274215698,False
2018-05-26,2,deterioration,120,0,100,0,6,0,,True
2018-05-27,2,deterioration,122,0,122,0,7,0,,True
2018-05-28,2,deterioration,137,0,137,0,7,0,,True
2018-05-29,2,deterioration,131,0,131,0,7,0,,True
2018-05-30,2,deterioration,135,0,135,0,7,0,,True
2018-06-02,2,deterioration,148,0,148,0,8,0,,True
2018-06-03,2,deterioration,148,0,148,0,8,0,,True
2018-06-09,2,deterioration,144,0,144,0,8,0,,True
2018-06-10,2,recovery_negative,146,146,146,146,8,8,0.5508493185043335,False
2018-06-11,2,recovery_negative,140,140,140,140,7,7,0.5473469495773315,False
2018-06-12,2,recovery_negative,124,124,124,124,7,7,0.6074169874191284,False
2018-06-13,2,recovery_positive,99,99,99,99,5,5,0.6154175400733948,False
2018-06-17,2,recovery_positive,77,77,77,77,4,4,0.5147176384925842,False
2018-06-18,2,recovery_positive,92,92,92,92,5,5,0.545403003692627,False
2018-06-19,2,recovery_positive,90,90,83,83,5,5,0.4999192953109741,False
2018-06-20,2,recovery_positive,79,79,79,79,4,4,0.5770784616470337,False
2018-06-23,2,recovery_positive,69,69,68,68,4,4,0.5036748647689819,False
2018-06-24,2,recovery_positive,64,64,64,64,4,4,0.5638495087623596,False
2018-06-25,2,recovery_positive,65,65,65,65,4,4,0.6455396413803101,False
2018-06-26,2,deterioration,69,0,61,0,4,0,,True
2018-06-27,2,deterioration,77,0,31,0,4,0,,True
2018-06-30,3,deterioration,74,0,13,0,4,0,,True
2018-07-01,3,deterioration,87,0,27,0,5,0,,True
2018-07-02,3,deterioration,78,0,10,0,4,0,,True
2018-07-03,3,deterioration,78,0,14,0,4,0,,True
2018-07-04,3,deterioration,83,0,13,0,5,0,,True
2018-07-07,3,deterioration,83,0,14,0,5,0,,True
2018-07-08,3,deterioration,91,0,17,0,5,0,,True
2018-07-10,3,deterioration,117,0,19,0,6,0,,True
2018-07-11,3,deterioration,127,0,60,0,7,0,,True
2018-07-14,3,deterioration,106,0,10,0,6,0,,True
2018-07-15,3,deterioration,99,0,9,0,5,0,,True
2018-07-16,3,deterioration,102,0,9,0,6,0,,True
2018-07-17,3,deterioration,103,0,12,0,6,0,,True
2018-07-18,3,deterioration,102,0,12,0,6,0,,True
2018-07-21,3,deterioration,80,0,48,0,4,0,,True
2018-07-22,3,deterioration,84,0,58,0,5,0,,True
2018-07-23,3,deterioration,103,0,97,0,6,0,,True
2018-07-24,3,deterioration,112,0,112,0,6,0,,True
2018-07-25,3,recovery_negative,110,110,110,110,6,6,0.5916247367858887,False
2018-07-28,3,deterioration,107,0,107,0,6,0,,True
2018-07-29,3,deterioration,117,0,117,0,6,0,,True
2018-07-30,3,recovery_negative,122,122,122,122,7,7,0.5722218751907349,False
2018-07-31,3,recovery_negative,81,81,81,81,5,5,0.5002450942993164,False
2018-08-01,3,recovery_negative,105,105,104,104,6,6,0.5053654313087463,False
2018-08-04,3,recovery_negative,114,114,112,112,6,6,0.5011576414108276,False
2018-08-05,3,recovery_negative,104,104,104,104,6,6,0.5167903900146484,False
2018-08-06,3,recovery_negative,101,101,101,101,6,6,0.5185801386833191,False
2018-08-07,3,deterioration,99,0,32,0,5,0,,True
2018-08-08,3,recovery_negative,116,116,66,66,6,6,0.4957337379455566,False
2018-08-11,3,recovery_negative,105,105,71,71,6,6,0.4828948974609375,False
2018-08-12,3,recovery_negative,108,108,81,81,6,6,0.4922583997249603,False
2018-08-13,3,recovery_negative,126,126,92,92,7,7,0.5153147578239441,False
2018-08-14,3,recovery_negative,110,110,89,89,6,6,0.5265722274780273,False
2018-08-15,3,recovery_negative,117,117,94,94,6,6,0.536080539226532,False
2018-08-18,3,recovery_positive,107,107,107,107,6,6,0.515276312828064,False
2018-08-19,3,recovery_positive,106,106,106,106,6,6,0.5109615921974182,False
2018-08-20,3,recovery_positive,94,94,94,94,5,5,0.5579005479812622,False
2018-08-21,3,recovery_positive,79,79,78,78,4,4,0.5007736086845398,False
2018-08-25,3,recovery_positive,67,67,67,67,4,4,0.7254022359848022,False
2018-08-26,3,recovery_positive,46,46,46,46,3,3,0.7386422157287598,False
2018-08-27,3,recovery_positive,41,41,41,41,3,3,0.737149715423584,False
2018-08-28,3,recovery_positive,45,45,45,45,3,3,0.6832802891731262,False
2018-08-29,3,recovery_positive,43,43,43,43,3,3,0.7410123944282532,False
2018-09-01,3,recovery_positive,43,43,43,43,3,3,0.7445570826530457,False
2018-09-02,3,deterioration,49,0,49,0,3,0,,True
2018-09-03,3,deterioration,46,0,46,0,3,0,,True
2018-09-04,3,recovery_positive,38,38,38,38,2,2,0.7357797026634216,False
2018-09-05,3,recovery_positive,34,34,34,34,2,2,0.70442795753479,False
2018-09-08,3,recovery_positive,22,22,22,22,2,2,0.6695783734321594,False
2018-09-09,3,recovery_positive,16,16,16,16,1,1,0.6689020991325378,False
2018-09-10,3,recovery_positive,11,11,11,11,1,1,0.6826069951057434,False
2018-09-11,3,recovery_positive,11,11,11,11,1,1,0.7098045349121094,False
2018-09-12,3,recovery_positive,6,6,6,6,1,1,0.6648253202438354,False
2018-09-15,3,recovery_positive,4,4,4,4,1,1,0.6989566683769226,False
2018-09-16,3,recovery_positive,5,5,5,5,1,1,0.6709142327308655,False
2018-09-17,3,broad_advance,4,0,4,0,1,0,,True
2018-09-18,3,broad_advance,2,0,2,0,1,0,,True
2018-09-22,3,broad_advance,1,0,1,0,1,0,,True
2018-09-23,3,broad_advance,1,0,1,0,1,0,,True
2018-09-25,3,broad_advance,1,0,1,0,1,0,,True
2018-09-26,3,broad_advance,1,0,1,0,1,0,,True
2018-09-29,3,broad_advance,1,0,1,0,1,0,,True
2018-10-01,3,broad_advance,1,0,1,0,1,0,,True
2018-10-02,3,broad_advance,2,0,2,0,1,0,,True
2018-10-03,3,broad_advance,2,0,2,0,1,0,,True
2018-10-06,3,deterioration,3,0,3,0,1,0,,True
2018-10-07,3,deterioration,2,0,2,0,1,0,,True
2018-10-08,3,deterioration,3,0,3,0,1,0,,True
2018-10-09,3,deterioration,4,0,4,0,1,0,,True
2018-10-10,3,deterioration,6,0,6,0,1,0,,True
2018-10-13,3,deterioration,9,0,9,0,1,0,,True
2018-10-14,3,deterioration,13,0,13,0,1,0,,True
2018-10-15,3,deterioration,11,0,11,0,1,0,,True
2018-10-16,3,deterioration,6,0,6,0,1,0,,True
2018-10-17,3,deterioration,5,0,5,0,1,0,,True
2018-10-20,3,recovery_positive,5,5,5,5,1,1,0.5649508237838745,False
2018-10-21,3,recovery_positive,7,7,7,7,1,1,0.5657966732978821,False
2018-10-22,3,deterioration,7,0,7,0,1,0,,True
2018-10-23,3,deterioration,19,0,19,0,1,0,,True
2018-10-24,3,deterioration,24,0,24,0,2,0,,True
2018-10-27,3,deterioration,32,0,32,0,2,0,,True
2018-10-28,3,deterioration,19,0,19,0,1,0,,True
2018-10-29,3,deterioration,14,0,14,0,1,0,,True
2018-10-31,3,recovery_negative,16,16,16,16,1,1,0.4953797459602356,False
2018-11-03,3,recovery_negative,24,24,24,24,2,2,0.5353532433509827,False
2018-11-04,3,recovery_negative,34,34,34,34,2,2,0.5768595933914185,False
2018-11-05,3,recovery_negative,23,23,23,23,2,2,0.5343124270439148,False
2018-11-06,3,recovery_negative,62,62,62,62,4,4,0.5251598954200745,False
2018-11-10,3,deterioration,87,0,87,0,5,0,,True
2018-11-11,3,deterioration,87,0,87,0,5,0,,True
2018-11-12,3,recovery_negative,78,78,78,78,4,4,0.5451495051383972,False
2018-11-13,3,deterioration,85,0,85,0,5,0,,True
2018-11-14,3,deterioration,69,0,69,0,4,0,,True
2018-11-17,3,deterioration,89,0,89,0,5,0,,True
2018-11-18,3,deterioration,91,0,91,0,5,0,,True
2018-11-19,3,deterioration,95,0,95,0,5,0,,True
2018-11-20,3,deterioration,111,0,103,0,6,0,,True
2018-11-21,3,deterioration,135,0,135,0,7,0,,True
2018-11-24,3,deterioration,131,0,131,0,7,0,,True
2018-11-26,3,deterioration,148,0,148,0,8,0,,True
2018-11-27,3,deterioration,136,0,135,0,7,0,,True
2018-11-28,3,deterioration,146,0,146,0,8,0,,True
2018-12-01,3,deterioration,159,0,159,0,8,0,,True
2018-12-02,3,deterioration,148,0,145,0,8,0,,True
2018-12-03,3,recovery_negative,150,150,149,149,8,8,0.5047398209571838,False
2018-12-04,3,deterioration,140,0,140,0,7,0,,True
2018-12-05,3,recovery_negative,126,126,126,126,7,7,0.5073441863059998,False
