events,signals,signal_rate,true_positive,false_positive,true_negative,false_negative,precision,prevalence,precision_lift,precision_ratio,specificity,sensitivity,fold_id,dates,signals_per_date,signal_fraction,development_fold,confirmation_only
10344,304,0.029389017788089715,126,178,6176,3864,0.4144736842105263,0.3857308584686775,0.028742825741848832,1.0745152354570637,0.9719861504564055,0.031578947368421054,1,92,3.3043478260869565,0.025,True,False
10408,303,0.029112221368178325,171,132,5419,4686,0.5643564356435643,0.46666026133743277,0.09769617430613153,1.2093518184431165,0.9762205008106647,0.035206917850525016,2,91,3.32967032967033,0.025,True,False
10397,336,0.032317014523420215,254,82,2763,7298,0.7559523809523809,0.7263633740502068,0.029589006902174142,1.0407358189568199,0.9711775043936731,0.03363347457627119,3,136,2.4705882352941178,0.025,True,False
10319,374,0.036243822075782535,330,44,1111,8834,0.8823529411764706,0.888070549471848,-0.005717608295377485,0.9935617634220864,0.9619047619047619,0.036010475774770845,4,231,1.619047619047619,0.025,True,False
10372,435,0.04193983802545314,285,150,4962,4975,0.6551724137931034,0.5071345931353645,0.14803782065773896,1.291910318604956,0.9706572769953051,0.05418250950570342,5,288,1.5104166666666667,0.025,False,True
10344,561,0.05423433874709977,235,326,6028,3755,0.41889483065953653,0.3857308584686775,0.03316397219085904,1.0859769745218661,0.948693736229147,0.05889724310776942,1,92,6.0978260869565215,0.05,True,False
10408,566,0.05438124519600308,293,273,5278,4564,0.5176678445229682,0.46666026133743277,0.05100758318553544,1.109303464236165,0.9508196721311475,0.06032530368540251,2,91,6.21978021978022,0.05,True,False
10397,594,0.057131864961046455,459,135,2710,7093,0.7727272727272727,0.7263633740502068,0.04636389867706592,1.0638301714175655,0.9525483304042179,0.06077860169491525,3,136,4.367647058823529,0.05,True,False
10319,624,0.06047097586975482,557,67,1088,8607,0.8926282051282052,0.888070549471848,0.004557655656357129,1.0051320873764675,0.941991341991342,0.06078131820165866,4,231,2.7012987012987013,0.05,True,False
10372,671,0.06469340532202082,418,253,4859,4842,0.6229508196721312,0.5071345931353645,0.11581622653676671,1.2283737455588106,0.9505086071987481,0.07946768060836502,5,288,2.329861111111111,0.05,False,True
10344,825,0.07975638051044083,336,489,5865,3654,0.4072727272727273,0.3857308584686775,0.02154186880404979,1.0558468899521531,0.9230406043437205,0.08421052631578947,1,92,8.967391304347826,0.075,True,False
10408,824,0.07916986933128363,435,389,5162,4422,0.5279126213592233,0.46666026133743277,0.061252360021790575,1.1312568587825398,0.9299225364799135,0.08956145768993205,2,91,9.054945054945055,0.075,True,False
10397,852,0.0819467153986727,654,198,2647,6898,0.7676056338028169,0.7263633740502068,0.04124225975261009,1.056779101515875,0.9304042179261863,0.08659957627118645,3,136,6.264705882352941,0.075,True,False
10319,889,0.08615175889136545,795,94,1061,8369,0.8942632170978627,0.888070549471848,0.00619266762601467,1.006973170802362,0.9186147186147187,0.08675250982103885,4,231,3.8484848484848486,0.075,True,False
10372,935,0.09014654839953722,570,365,4747,4690,0.6096256684491979,0.5071345931353645,0.10249107531383339,1.2020983713222586,0.9285993740219093,0.10836501901140684,5,288,3.2465277777777777,0.075,False,True
10344,1072,0.10363495746326373,425,647,5707,3565,0.396455223880597,0.3857308584686775,0.010724365411919512,1.0278027157445853,0.89817437834435,0.10651629072681704,1,92,11.652173913043478,0.1,True,False
10408,1080,0.1037663335895465,548,532,5019,4309,0.5074074074074074,0.46666026133743277,0.04074714606997465,1.0873165114878105,0.9041614123581336,0.11282684784846612,2,91,11.868131868131869,0.1,True,False
10397,1107,0.1064730210637684,849,258,2587,6703,0.7669376693766937,0.7263633740502068,0.04057429532648693,1.0558595005971245,0.9093145869947276,0.11242055084745763,3,136,8.139705882352942,0.1,True,False
10319,1132,0.1097005523791065,1006,126,1029,8158,0.8886925795053003,0.888070549471848,0.0006220300334522921,1.0007004286245302,0.8909090909090909,0.1097773897861196,4,231,4.9004329004329,0.1,True,False
