symbol,full_history_rows,test_rows,test_eligible_events,candidate_events,candidate_rows_with_any_feature_missing,candidate_nonfinite_numeric_values,started_source,breadth_identity_preserved,rows,raw_join_missing_rows,market_feature_join_missing_rows,invalid_power_source_rows,power_feature_missing_rows,volume_feature_missing_rows,ho_buy_missing_rows,ho_sell_missing_rows,x_missing_rows,y_missing_rows,gmma_missing_rows,body_valid_ordinary_rows,body_locked_rows,body_locked_up_rows,body_locked_down_rows,body_locked_unchanged_rows,body_locked_price_change_missing_rows,body_invalid_ohlc_rows,body_missing_rows
آ س پ,2328,790,781,123,0,0,raw_data,True,2328,0,0,0,0,29,0,0,11,12,59,2115,212,71,141,0,0,1,1
آباد,2336,742,722,195,0,0,raw_data,True,2336,0,0,0,0,29,0,0,11,12,59,1954,381,117,264,0,0,1,1
آسيا,2345,775,766,141,0,0,raw_data,True,2345,0,0,0,0,29,0,0,11,12,59,2152,191,86,105,0,0,2,2
آينده,1600,427,397,128,0,0,raw_data,True,1600,0,0,0,0,29,0,0,11,12,59,1118,481,140,341,0,0,1,1
آپ,1807,785,778,176,0,0,raw_data,True,1807,0,0,0,0,29,0,0,11,12,59,1662,145,47,98,0,0,0,0
اتكام,1867,757,727,157,0,0,raw_data,True,1867,0,0,0,0,29,0,0,11,12,59,1761,106,27,79,0,0,0,0
اتكاي,2179,762,732,171,0,0,raw_data,True,2179,0,0,0,0,29,0,0,11,12,59,2065,111,60,51,0,0,3,3
اخابر,2210,722,699,171,0,0,raw_data,True,2210,0,0,0,0,29,0,0,11,12,59,2071,139,64,75,0,0,0,0
ارفع,2301,761,731,172,0,0,raw_data,True,2301,0,0,0,0,29,0,0,11,12,59,2215,85,72,13,0,0,1,1
اعتلا,2362,777,747,192,0,0,raw_data,True,2362,0,0,0,0,29,0,0,11,12,59,2154,207,85,122,0,0,1,1
افرا,2275,776,747,195,0,0,raw_data,True,2275,0,0,0,0,29,0,0,11,12,59,1974,300,106,194,0,0,1,1
البرز,2323,775,745,126,0,0,raw_data,True,2323,0,0,0,0,29,0,0,11,12,59,2251,70,37,33,0,0,2,2
