dEven,market_breadth_regime,candidate_events,gate_pass_events,threshold_pass_events,policy_eligible_events,daily_maximum_quota,required_signal_quota,selected_signals,score_cutoff,minimum_score,maximum_score,selected_positive_labels,selected_mean_corrected_event_return,zero_signal_date,selected_precision
2021-03-27,broad_decline,89,0,89,0,5,0,0,,0.4257168,0.5475568,0,,True,
2021-03-28,broad_decline,96,0,96,0,5,0,0,,0.41781762,0.5834918,0,,True,
2021-03-30,broad_decline,90,0,90,0,5,0,0,,0.39532495,0.5779106,0,,True,
2021-03-31,broad_decline,95,0,95,0,5,0,0,,0.38663518,0.58561355,0,,True,
2021-04-03,broad_decline,94,0,94,0,5,0,0,,0.39169452,0.5302619,0,,True,
2021-04-04,broad_decline,91,0,91,0,5,0,0,,0.42539546,0.5308423,0,,True,
2021-04-05,broad_decline,91,0,91,0,5,0,0,,0.4278995,0.54896027,0,,True,
2021-04-06,broad_decline,93,0,93,0,5,0,0,,0.43532842,0.60216796,0,,True,
2021-04-07,broad_decline,103,0,103,0,6,0,0,,0.42344347,0.57541054,0,,True,
2021-04-10,broad_decline,105,0,105,0,6,0,0,,0.4252847,0.5784299,0,,True,
2021-04-11,broad_decline,111,0,111,0,6,0,0,,0.4233161,0.5340849,0,,True,
2021-04-12,broad_decline,120,0,120,0,6,0,0,,0.4270413,0.5401705,0,,True,
2021-04-13,broad_decline,112,0,112,0,6,0,0,,0.41748983,0.52331376,0,,True,
2021-04-14,broad_decline,109,0,109,0,6,0,0,,0.425982,0.54828906,0,,True,
2021-04-17,broad_decline,121,0,121,0,7,0,0,,0.42153946,0.5375629,0,,True,
2021-04-18,broad_decline,113,0,113,0,6,0,0,,0.4143479,0.5237894,0,,True,
2021-04-19,broad_decline,111,0,111,0,6,0,0,,0.43818462,0.523781,0,,True,
2021-04-20,broad_decline,108,0,108,0,6,0,0,,0.4426311,0.55185646,0,,True,
2021-04-21,broad_decline,117,0,117,0,6,0,0,,0.48790902,0.6164215,0,,True,
2021-04-24,broad_decline,113,0,113,0,6,0,0,,0.5193401,0.65383965,0,,True,
2021-04-25,broad_decline,116,0,116,0,6,0,0,,0.514961,0.61709875,0,,True,
2021-04-26,broad_decline,115,0,115,0,6,0,0,,0.5043086,0.58759063,0,,True,
2021-04-27,broad_decline,117,0,117,0,6,0,0,,0.49749315,0.60927653,0,,True,
2021-04-28,broad_decline,117,0,117,0,6,0,0,,0.51778394,0.63803184,0,,True,
2021-05-01,broad_decline,107,0,107,0,6,0,0,,0.5075116,0.6071529,0,,True,
2021-05-02,broad_decline,111,0,111,0,6,0,0,,0.497608,0.61547166,0,,True,
2021-05-03,broad_decline,107,0,107,0,6,0,0,,0.43909183,0.5779506,0,,True,
2021-05-05,broad_decline,107,0,107,0,6,0,0,,0.439677,0.5881652,0,,True,
2021-05-08,broad_decline,112,0,112,0,6,0,0,,0.4277284,0.5985403,0,,True,
2021-05-09,broad_decline,100,0,100,0,5,0,0,,0.46873462,0.6190212,0,,True,
2021-05-10,broad_decline,111,0,111,0,6,0,0,,0.44807935,0.5463109,0,,True,
2021-05-11,broad_decline,120,0,120,0,6,0,0,,0.45789734,0.5884399,0,,True,
2021-05-12,broad_decline,114,0,114,0,6,0,0,,0.45155326,0.5516891,0,,True,
2021-05-15,broad_decline,110,0,110,0,6,0,0,,0.45544314,0.56293476,0,,True,
2021-05-16,broad_decline,103,0,103,0,6,0,0,,0.4238495,0.55157334,0,,True,
2021-05-17,broad_decline,89,0,89,0,5,0,0,,0.39211607,0.5441869,0,,True,
2021-05-18,broad_decline,87,0,87,0,5,0,0,,0.39185122,0.5731026,0,,True,
2021-05-19,broad_decline,77,0,77,0,4,0,0,,0.39178842,0.59490347,0,,True,
2021-05-22,broad_decline,86,0,86,0,5,0,0,,0.39468613,0.62207067,0,,True,
2021-05-23,broad_decline,82,0,82,0,5,0,0,,0.40966344,0.63662326,0,,True,
2021-05-24,broad_decline,80,0,80,0,4,0,0,,0.42472252,0.6336035,0,,True,
2021-05-25,broad_decline,87,0,87,0,5,0,0,,0.42221949,0.6398843,0,,True,
2021-05-26,broad_decline,86,0,86,0,5,0,0,,0.43458048,0.6312857,0,,True,
2021-05-29,broad_decline,84,0,84,0,5,0,0,,0.468467,0.6551271,0,,True,
2021-05-30,broad_decline,90,0,90,0,5,0,0,,0.40668875,0.6146107,0,,True,
2021-05-31,broad_decline,80,0,80,0,4,0,0,,0.4383734,0.63974607,0,,True,
2021-06-01,broad_decline,71,0,71,0,4,0,0,,0.43331054,0.6226211,0,,True,
2021-06-02,broad_decline,77,0,77,0,4,0,0,,0.45635322,0.6408173,0,,True,
2021-06-07,broad_decline,76,0,76,0,4,0,0,,0.42128694,0.62238896,0,,True,
2021-06-08,broad_decline,83,0,83,0,5,0,0,,0.41420147,0.6026978,0,,True,
2021-06-09,broad_decline,81,0,79,0,5,0,0,,0.37414768,0.608379,0,,True,
2021-06-12,broad_decline,81,0,81,0,5,0,0,,0.45559448,0.6414527,0,,True,
2021-06-13,broad_decline,72,0,72,0,4,0,0,,0.47047645,0.6386898,0,,True,
2021-06-14,broad_decline,78,0,78,0,4,0,0,,0.4694081,0.6544613,0,,True,
2021-06-15,broad_decline,74,0,74,0,4,0,0,,0.4542952,0.64971185,0,,True,
2021-06-16,broad_decline,66,0,66,0,4,0,0,,0.4926241,0.6587637,0,,True,
2021-06-19,broad_decline,60,0,60,0,3,0,0,,0.48243317,0.6490289,0,,True,
2021-06-20,broad_decline,77,0,77,0,4,0,0,,0.44514188,0.64140433,0,,True,
2021-06-21,broad_decline,81,0,81,0,5,0,0,,0.47230217,0.6575178,0,,True,
2021-06-22,recovery_negative,79,79,79,79,4,4,4,0.60105556,0.40359697,0.6023776,4,0.3706832911978955,False,1.0
2021-06-23,recovery_negative,70,70,70,70,4,4,4,0.56556445,0.4554528,0.5740598,2,0.2585188385445196,False,0.5
2021-06-26,recovery_negative,63,63,63,63,4,4,4,0.60859984,0.5120651,0.6167983,3,0.15014639585538794,False,0.75
2021-06-27,recovery_negative,66,66,66,66,4,4,4,0.6198074,0.51921815,0.62334925,4,0.27660111345481203,False,1.0
2021-06-28,recovery_negative,67,67,67,67,4,4,4,0.6049324,0.5263744,0.6072902,3,0.0730718517176053,False,0.75
2021-06-29,recovery_negative,73,73,73,73,4,4,4,0.6028235,0.49321538,0.6098722,4,0.128327802070962,False,1.0
2021-06-30,recovery_negative,66,66,66,66,4,4,4,0.59953135,0.5099625,0.6199832,4,0.27568423628161987,False,1.0
2021-07-03,recovery_negative,77,77,77,77,4,4,4,0.5847144,0.46148062,0.5884251,4,0.2069724490800086,False,1.0
2021-07-04,recovery_negative,79,79,79,79,4,4,4,0.5852087,0.4821221,0.59084463,3,0.19447360298690355,False,0.75
2021-07-05,recovery_negative,60,60,60,60,3,3,3,0.63475263,0.5139257,0.6427509,2,0.2208311895990861,False,0.6666666666666666
2021-07-06,recovery_negative,50,50,50,50,3,3,3,0.6911056,0.5364614,0.6940749,3,0.33857165605624595,False,1.0
2021-07-07,recovery_negative,58,58,58,58,3,3,3,0.6669477,0.5603124,0.66859126,3,0.28835344286282133,False,1.0
2021-07-10,recovery_negative,61,61,61,61,4,4,4,0.66329384,0.55219716,0.6685731,4,0.28607829032401977,False,1.0
