model_name,feature_set_name,fold_id,true_positive,false_positive,true_negative,false_negative,signals,events,dates,precision,specificity,sensitivity
random_forest,A_baseline_35,1,238,323,6031,3752,561,10344,92,0.42424242424242425,0.9491658797607806,0.05964912280701754
random_forest,A_baseline_35,2,288,278,5273,4569,566,10408,91,0.508833922261484,0.949918933525491,0.0592958616429895
random_forest,A_baseline_35,3,448,146,2699,7104,594,10397,136,0.7542087542087542,0.9486818980667838,0.059322033898305086
random_forest,A_baseline_35,4,553,71,1084,8611,624,10319,231,0.8862179487179487,0.9385281385281385,0.0603448275862069
random_forest,A_baseline_35,5,402,269,4843,4858,671,10372,288,0.5991058122205664,0.9473787167449139,0.07642585551330798
random_forest,B_plus_started,1,245,316,6038,3745,561,10344,92,0.43672014260249553,0.950267548001259,0.06140350877192982
random_forest,B_plus_started,2,293,273,5278,4564,566,10408,91,0.5176678445229682,0.9508196721311475,0.06032530368540251
random_forest,B_plus_started,3,445,149,2696,7107,594,10397,136,0.7491582491582491,0.9476274165202109,0.05892478813559322
random_forest,B_plus_started,4,549,75,1080,8615,624,10319,231,0.8798076923076923,0.935064935064935,0.05990833697075513
random_forest,B_plus_started,5,400,271,4841,4860,671,10372,288,0.5961251862891207,0.9469874804381847,0.07604562737642585
random_forest,C_plus_breadth_raw,1,219,342,6012,3771,561,10344,92,0.39037433155080214,0.9461756373937678,0.05488721804511278
random_forest,C_plus_breadth_raw,2,304,262,5289,4553,566,10408,91,0.5371024734982333,0.9528012970635922,0.06259007617871114
random_forest,C_plus_breadth_raw,3,444,150,2695,7108,594,10397,136,0.7474747474747475,0.9472759226713533,0.058792372881355935
random_forest,C_plus_breadth_raw,4,556,68,1087,8608,624,10319,231,0.8910256410256411,0.9411255411255411,0.060672195547795724
random_forest,C_plus_breadth_raw,5,384,287,4825,4876,671,10372,288,0.5722801788375559,0.9438575899843505,0.07300380228136882
random_forest,D_plus_breadth_ema30,1,250,311,6043,3740,561,10344,92,0.44563279857397503,0.9510544538873151,0.06265664160401002
random_forest,D_plus_breadth_ema30,2,294,272,5279,4563,566,10408,91,0.519434628975265,0.9509998198522789,0.06053119209388511
random_forest,D_plus_breadth_ema30,3,458,136,2709,7094,594,10397,136,0.7710437710437711,0.9521968365553602,0.060646186440677964
random_forest,D_plus_breadth_ema30,4,550,74,1081,8614,624,10319,231,0.8814102564102564,0.935930735930736,0.06001745962461807
random_forest,D_plus_breadth_ema30,5,403,268,4844,4857,671,10372,288,0.6005961251862891,0.9475743348982786,0.07661596958174904
random_forest,E_plus_breadth_slope5,1,244,317,6037,3746,561,10344,92,0.43493761140819964,0.9501101668240478,0.061152882205513785
random_forest,E_plus_breadth_slope5,2,306,260,5291,4551,566,10408,91,0.5406360424028268,0.9531615925058547,0.06300185299567634
random_forest,E_plus_breadth_slope5,3,453,141,2704,7099,594,10397,136,0.7626262626262627,0.950439367311072,0.059984110169491525
random_forest,E_plus_breadth_slope5,4,547,77,1078,8617,624,10319,231,0.8766025641025641,0.9333333333333333,0.05969009166302924
random_forest,E_plus_breadth_slope5,5,392,279,4833,4868,671,10372,288,0.5842026825633383,0.9454225352112676,0.07452471482889733
random_forest,F_plus_all_continuous_breadth,1,246,315,6039,3744,561,10344,92,0.4385026737967914,0.9504249291784702,0.061654135338345864
random_forest,F_plus_all_continuous_breadth,2,291,275,5276,4566,566,10408,91,0.5141342756183745,0.9504593766888849,0.05991352686843731
random_forest,F_plus_all_continuous_breadth,3,452,142,2703,7100,594,10397,136,0.7609427609427609,0.9500878734622145,0.05985169491525424
random_forest,F_plus_all_continuous_breadth,4,550,74,1081,8614,624,10319,231,0.8814102564102564,0.935930735930736,0.06001745962461807
random_forest,F_plus_all_continuous_breadth,5,408,263,4849,4852,671,10372,288,0.6080476900149031,0.9485524256651017,0.07756653992395438
random_forest,G_plus_breadth_regime,1,218,343,6011,3772,561,10344,92,0.38859180035650626,0.9460182562165566,0.05463659147869674
random_forest,G_plus_breadth_regime,2,308,258,5293,4549,566,10408,91,0.5441696113074205,0.9535218879481174,0.06341362981264155
random_forest,G_plus_breadth_regime,3,457,137,2708,7095,594,10397,136,0.7693602693602694,0.9518453427065027,0.060513771186440676
random_forest,G_plus_breadth_regime,4,557,67,1088,8607,624,10319,231,0.8926282051282052,0.941991341991342,0.06078131820165866
random_forest,G_plus_breadth_regime,5,396,275,4837,4864,671,10372,288,0.5901639344262295,0.9462050078247262,0.0752851711026616
random_forest,H_plus_slope5_and_regime,1,254,307,6047,3736,561,10344,92,0.45276292335115864,0.9516839785961599,0.06365914786967418
random_forest,H_plus_slope5_and_regime,2,293,273,5278,4564,566,10408,91,0.5176678445229682,0.9508196721311475,0.06032530368540251
random_forest,H_plus_slope5_and_regime,3,446,148,2697,7106,594,10397,136,0.7508417508417509,0.9479789103690686,0.05905720338983051
random_forest,H_plus_slope5_and_regime,4,545,79,1076,8619,624,10319,231,0.8733974358974359,0.9316017316017317,0.05947184635530336
random_forest,H_plus_slope5_and_regime,5,397,274,4838,4863,671,10372,288,0.5916542473919523,0.9464006259780907,0.07547528517110266
random_forest,I_full_40,1,238,323,6031,3752,561,10344,92,0.42424242424242425,0.9491658797607806,0.05964912280701754
random_forest,I_full_40,2,309,257,5294,4548,566,10408,91,0.5459363957597173,0.9537020356692488,0.06361951822112415
random_forest,I_full_40,3,456,138,2707,7096,594,10397,136,0.7676767676767676,0.951493848857645,0.06038135593220339
random_forest,I_full_40,4,547,77,1078,8617,624,10319,231,0.8766025641025641,0.9333333333333333,0.05969009166302924
random_forest,I_full_40,5,387,284,4828,4873,671,10372,288,0.5767511177347243,0.9444444444444444,0.07357414448669201
xgboost,A_baseline_35,1,229,332,6022,3761,561,10344,92,0.40819964349376114,0.9477494491658798,0.057393483709273184
xgboost,A_baseline_35,2,293,273,5278,4564,566,10408,91,0.5176678445229682,0.9508196721311475,0.06032530368540251
