model_name,feature_set_name,feature_count,true_positive,false_positive,true_negative,false_negative,events,signals,expected_signals,signal_rate,dates,dates_with_signal,date_coverage,precision,specificity,sensitivity,prevalence,min_fold_specificity,mean_fold_specificity,std_fold_specificity,min_fold_precision,policy_complete,mean_roc_auc,std_roc_auc,min_roc_auc,mean_average_precision,policy_selection_rank,selected_by_policy_hierarchy
xgboost,I_full_40,40,1987,1029,19988,28836,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6588196286472149,0.9510396345815293,0.0644648476786815,0.594579475308642,0.9445887445887445,0.9506310330169242,0.004129262673777876,0.44028520499108736,True,0.5227934492043504,0.03162538789114246,0.4827992493066056,0.6223581419295476,1,True
xgboost,E_plus_breadth_slope5,36,1960,1056,19961,28863,51840,3016,3016,0.058179012345679015,838,838,1.0,0.649867374005305,0.9497549602702574,0.06358887843493495,0.594579475308642,0.9463203463203463,0.9498445692334065,0.003249413299507379,0.40641711229946526,True,0.512904585104372,0.02596934421169542,0.4863350702362843,0.6170421976436755,2,False
xgboost,F_plus_all_continuous_breadth,38,1959,1057,19960,28864,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6495358090185677,0.9497073797402104,0.06355643512961101,0.594579475308642,0.9463203463203463,0.9495775367995039,0.003018722363428241,0.44206773618538325,True,0.5125683981976895,0.03275702759984687,0.4641567604892466,0.6179231236388334,3,False
xgboost,H_plus_slope5_and_regime,37,1955,1061,19956,28868,51840,3016,3016,0.058179012345679015,838,838,1.0,0.648209549071618,0.9495170576200219,0.06342666190831522,0.594579475308642,0.9475920679886686,0.949680287399399,0.0019147768366708257,0.40641711229946526,True,0.5171687360926565,0.01985066850620656,0.4898339056643813,0.6173852878018447,4,False
random_forest,D_plus_breadth_ema30,36,1955,1061,19956,28868,51840,3016,3016,0.058179012345679015,838,838,1.0,0.648209549071618,0.9495170576200219,0.06342666190831522,0.594579475308642,0.935930735930736,0.9475512362247936,0.006013042925026132,0.44563279857397503,True,0.5038137564376755,0.030532776807929658,0.46593846855595145,0.6103518926597085,5,False
xgboost,G_plus_breadth_regime,36,1954,1062,19955,28869,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6478779840848806,0.9494694770899748,0.06339421860299127,0.594579475308642,0.9445887445887445,0.9490785176834814,0.002815109919192754,0.40819964349376114,True,0.5136042280173116,0.03001601870003572,0.4743493679641271,0.6118336214163083,6,False
xgboost,A_baseline_35,35,1950,1066,19951,28873,51840,3016,3016,0.058179012345679015,838,838,1.0,0.646551724137931,0.9492791549697863,0.06326444538169548,0.594579475308642,0.9411255411255411,0.9482611764344465,0.003784724168262702,0.40819964349376114,True,0.5106476029570408,0.026538310707215903,0.4845270636458947,0.6170573276199892,7,False
xgboost,C_plus_breadth_raw,36,1948,1068,19949,28875,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6458885941644562,0.9491839939096921,0.06319955877104759,0.594579475308642,0.9411255411255411,0.9479992066995877,0.0037669341610888016,0.40819964349376114,True,0.5088843924764579,0.02453167432936998,0.4802800742563195,0.6147335149045533,8,False
random_forest,F_plus_all_continuous_breadth,38,1947,1069,19948,28876,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6455570291777188,0.949136413379645,0.06316711546572365,0.594579475308642,0.935930735930736,0.9470910681850814,0.005623691934679241,0.4385026737967914,True,0.519092507031684,0.03512017247459073,0.4705439003528291,0.6202740954054106,9,False
xgboost,B_plus_started,36,1946,1070,19947,28877,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6452254641909815,0.949088832849598,0.0631346721603997,0.594579475308642,0.9428571428571428,0.9485583466089835,0.0035310090992142465,0.40998217468805703,True,0.5033583063740299,0.021147028072515534,0.47966736058960563,0.6124367309934338,10,False
xgboost,D_plus_breadth_ema30,36,1942,1074,19943,28881,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6438992042440318,0.9488985107294096,0.06300489893910391,0.594579475308642,0.9463203463203463,0.9488387484138091,0.002078625637831399,0.39750445632798576,True,0.5062452783314446,0.03543084086025403,0.46609836495821566,0.6149949898469853,11,False
random_forest,E_plus_breadth_slope5,36,1942,1074,19943,28881,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6438992042440318,0.9488985107294096,0.06300489893910391,0.594579475308642,0.9333333333333333,0.9464933990371153,0.007034920861553062,0.43493761140819964,True,0.5043518096950959,0.020489393618322763,0.48200118664981173,0.6127057991587552,12,False
random_forest,I_full_40,40,1937,1079,19938,28886,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6422413793103449,0.948660608079174,0.06284268241248418,0.594579475308642,0.9333333333333333,0.9464279084130904,0.007231530859529599,0.42424242424242425,True,0.5039272564036843,0.030655736924627346,0.4744264602100344,0.6117645118320076,13,False
random_forest,G_plus_breadth_regime,36,1936,1080,19937,28887,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6419098143236074,0.9486130275491269,0.06281023910716024,0.594579475308642,0.941991341991342,0.947916367337449,0.0042070467391820444,0.38859180035650626,True,0.5115311719222791,0.02478569322203323,0.48043034088210773,0.6165679371217643,14,False
random_forest,H_plus_slope5_and_regime,37,1935,1081,19936,28888,51840,3016,3016,0.058179012345679015,838,838,1.0,0.64157824933687,0.9485654470190797,0.06277779580183629,0.594579475308642,0.9316017316017317,0.9456969837352396,0.0073001983280116265,0.45276292335115864,True,0.5026788815797613,0.026108132528877274,0.4781303076703405,0.6112050833322226,15,False
random_forest,B_plus_started,36,1932,1084,19933,28891,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6405835543766578,0.9484227054289385,0.06268046588586446,0.594579475308642,0.935064935064935,0.9461534104311473,0.005736249277585924,0.43672014260249553,True,0.5023540470358512,0.023514781623823717,0.4758323058196325,0.613037116318241,16,False
random_forest,A_baseline_35,35,1929,1087,19930,28894,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6395888594164456,0.9482799638387972,0.06258313596989261,0.594579475308642,0.9385281385281385,0.9467347133252215,0.004185784687335433,0.42424242424242425,True,0.5107614665664388,0.02405260555440099,0.48776272598398734,0.6178554188242009,17,False
random_forest,C_plus_breadth_raw,36,1907,1109,19908,28916,51840,3016,3016,0.058179012345679015,838,838,1.0,0.6322944297082228,0.9472331921777608,0.061869383252765794,0.594579475308642,0.9411255411255411,0.9462471976477209,0.0038977225533211655,0.39037433155080214,True,0.5014335805597453,0.026008983173601348,0.47277264218146875,0.6128496051630788,18,False
